pc1,pc2,cluster,title
0.029230043,-0.14287333,0,Data Modelers
-0.13890876,-0.33819917,0,ETL Architects
-0.0040121973,-0.18534523,0,Principal Data Scientists
-0.2903924,-0.28639916,0,Data Analysts
-0.080360755,-0.21126959,0,IT Architects
-0.18337408,-0.35728213,0,Enterprise Architecture Consultants
-0.18859677,0.045928337,0,Data Analysts/Data Scientists
0.0011357367,-0.12595412,0,Data Analysts
-0.08586158,-0.27663645,0,Enterprise Data Architects
0.033218548,-0.056530796,0,Oracle Architects
-0.16837412,-0.19263153,0,Data Analysts
-0.26115662,-0.08861817,0,Data Analysts
-0.15920685,-0.11477644,0,MDM Analysts
-0.13502061,-0.22944959,0,Data Quality Analysts
-0.15787414,-0.12685293,0,Data Analysts
-0.27441293,-0.22118229,0,Data Analysts
-0.07507773,-0.117617026,0,Data Integration Developers
-0.19077592,-0.19158179,0,Enterprise Data Analysts
-0.12596068,-0.049277745,0,Sales Data Analysts
-0.3102594,-0.11978871,0,Business Intelligence Analysts
-0.09309168,-0.19089344,0,Data Modelers
-0.016506717,0.11986344,0,Data Migration Analysts
-0.10658106,-0.1973758,0,Enterprise Data Architects
-0.19501601,-0.2785323,0,Data Analysts
-0.19720842,-0.034607597,0,Data Quality Analysts
-0.055047765,0.067606546,0,Business Intelligence Leads
-0.10161173,-0.092482835,0,Data Quality Analysts
-0.350017,-0.13997263,0,Data Analysts
-0.10497065,-0.18157965,0,Data Analytics Analysts
-0.25148702,-0.09710585,0,IT Data Analytics Analysts
-0.24198408,-0.29154402,0,Analytics Engineers
-0.11221129,-0.12650315,0,Data Analytics Leads
-0.13473216,-0.3078402,0,Business Intelligence and Data Analysts
-0.096476376,-0.017849162,0,Finance Data Analysts
0.0074708834,-0.10470316,0,Lead Information Architects
-0.106494054,-0.1271871,0,Data Analytics Engineers
-0.09628685,-0.2310328,0,Unclassified
0.061347738,-0.064819016,0,Program Managers
-0.17070857,-0.09033969,0,Limited Term Lecturers
-0.122419104,-0.3468953,0,Data Operations Analysts
-0.17475896,-0.11544827,0,Data Modelers
-0.09776455,-0.18909605,0,Data Analytics Developers
0.02029008,-0.10163804,0,Oracle Consultants
-0.26511538,-0.21005848,0,Product Data Analysts
-0.047256842,-0.18747899,0,Consultant Relationship Managers
-0.05750549,-0.24468532,0,Data Quality Managers
-0.27776492,-0.23616733,0,Data Governance Analysts
-0.11964823,-0.134727,0,Business Intelligence Analysts
-0.16490242,-0.28433082,0,Azure Engineers
0.014074154,-0.15300052,0,Enterprise Data Architects
-0.1103767,0.035426594,0,Data Quality Analysts
-0.042571984,-0.12007453,0,Business Intelligence Specialists
-0.038333997,-0.15013427,0,Data Analytics Analysts
-0.10658106,-0.1973758,0,Enterprise Data Architects
0.16261663,-0.07809111,0,Unclassified
-0.02396945,-0.109479144,0,Data Analysts
0.02358206,-0.06983524,0,Master Data Analysts
-0.16104352,-0.24621056,0,Analytics Managers
0.060747072,-0.12645757,0,SAP Consultants
-0.041523814,-0.16483134,0,Sustainable Finance Data Engineers
-0.17620358,-0.177634,0,Data Governance Analysts
